name,nirtogen,phosphorus,potassium,calcium,magnesium,sulfur,copper,chlorine,boron,iron,zinc,maganese,molybdenum ,oxygen,carbondioxide,ph_min,ph_max,EC_min,EC_max,temp,humidity,light,growth_stage,type
aloe vera,60.00,30.00,50.00,40.00,30.00,20.00,0.40,0.50,0.40,6.00,4.00,3.00,0.08,5.00,440.00,6.00,6.50,1.2,1.7,22.00,67.00,220.00,seedling,multipurpose
aloe vera,60.00,30.00,50.00,40.00,30.00,20.00,0.40,0.50,0.40,6.00,4.00,3.00,0.08,5.00,440.00,6.00,6.50,1.2,1.7,22.00,67.00,220.00,harvesting,multipurpose
aloe vera,120.00,60.00,100.00,80.00,60.00,40.00,0.80,1.00,0.80,12.00,8.00,6.00,0.15,6.00,540.00,6.00,6.50,1.2,1.7,24.00,62.00,270.00,vegetative,multipurpose
aloe vera,180.00,90.00,150.00,120.00,90.00,60.00,1.20,1.50,1.20,18.00,12.00,9.00,0.25,7.00,640.00,6.00,6.50,1.2,1.7,26.00,57.00,320.00,flowering,multipurpose
armenian cucumbers,85.00,42.00,109.00,53.00,26.00,12.00,0.30,0.60,0.30,3.00,1.00,2.00,0.08,6.00,580.00,5.30,6.50,1.2,1.7,18.00,54.00,285.00,seedling,fruitables
armenian cucumbers,91.00,45.00,113.00,58.00,27.00,13.00,0.40,0.70,0.40,4.00,2.00,3.00,0.10,6.00,590.00,5.20,6.60,1.2,1.7,20.00,55.00,305.00,harvesting,fruitables
armenian cucumbers,295.00,142.00,346.00,169.00,80.00,40.00,1.70,2.80,1.70,13.00,5.00,7.00,0.36,5.00,1170.00,5.20,6.60,1.3,1.8,23.00,51.00,315.00,vegetative,fruitables
armenian cucumbers,495.00,232.00,591.00,289.00,147.00,68.00,3.50,5.30,3.30,28.00,12.00,15.00,0.53,6.00,1735.00,5.10,6.70,1.3,1.8,26.00,48.00,360.00,flowering,fruitables
arugula,60.00,30.00,70.00,25.00,15.00,8.00,0.40,0.60,0.40,2.50,1.50,1.50,0.08,6.00,480.00,6.00,6.50,1.2,1.7,20.00,70.00,280.00,seedling,leafy_greens
arugula,60.00,30.00,70.00,25.00,15.00,8.00,0.40,0.60,0.40,2.50,1.50,1.50,0.08,6.00,480.00,6.00,6.50,1.2,1.7,20.00,70.00,280.00,harvesting,leafy_greens
arugula,180.00,80.00,200.00,100.00,40.00,20.00,1.30,2.50,1.30,14.00,7.00,7.00,0.25,6.00,580.00,6.00,6.50,1.2,1.7,21.00,65.00,330.00,vegetative,leafy_greens
arugula,250.00,110.00,250.00,150.00,60.00,30.00,1.80,3.50,1.80,18.00,9.00,9.00,0.35,6.00,720.00,6.00,6.50,1.2,1.7,23.00,60.00,380.00,flowering,leafy_greens
ashwagandha,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,1.2,1.7,24.00,65.00,240.00,seedling,exotic_plants
ashwagandha,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,1.2,1.7,24.00,65.00,240.00,harvesting,exotic_plants
ashwagandha,80.00,60.00,70.00,60.00,50.00,50.00,1.20,1.40,1.20,12.00,10.00,10.00,0.20,6.00,570.00,6.00,6.50,1.2,1.7,26.00,60.00,290.00,vegetative,exotic_plants
ashwagandha,120.00,90.00,105.00,90.00,75.00,75.00,1.80,2.10,1.80,18.00,15.00,15.00,0.30,7.00,670.00,6.00,6.50,1.2,1.7,28.00,55.00,340.00,flowering,exotic_plants
baby eggplant,90.00,47.00,117.00,58.00,29.00,16.00,0.70,1.00,0.50,6.00,2.00,3.00,0.12,6.00,600.00,5.40,6.60,1.2,1.7,23.00,59.00,310.00,seedling,fruitables
baby eggplant,95.00,48.00,120.00,62.00,30.00,17.00,0.90,1.10,0.80,7.00,4.00,5.00,0.16,5.00,610.00,5.30,6.50,1.2,1.7,25.00,58.00,315.00,harvesting,fruitables
baby eggplant,305.00,152.00,360.00,180.00,87.00,46.00,2.20,3.30,2.20,18.00,8.00,10.00,0.41,5.00,1200.00,5.30,6.50,1.2,1.7,28.00,57.00,335.00,vegetative,fruitables
baby eggplant,510.00,245.00,605.00,295.00,160.00,75.00,4.00,6.00,3.80,32.00,15.00,18.00,0.58,6.00,1760.00,5.20,6.60,1.2,1.7,30.00,54.00,380.00,flowering,fruitables
baby spinach,60.00,25.00,70.00,25.00,15.00,8.00,0.40,0.60,0.40,2.50,1.50,1.50,0.08,6.00,480.00,6.00,6.50,1.2,1.7,20.00,70.00,280.00,seedling,leafy_greens
baby spinach,60.00,25.00,70.00,25.00,15.00,8.00,0.40,0.60,0.40,2.50,1.50,1.50,0.08,6.00,480.00,6.00,6.50,1.2,1.7,20.00,70.00,280.00,harvesting,leafy_greens
baby spinach,180.00,80.00,200.00,100.00,40.00,20.00,1.30,2.50,1.30,14.00,7.00,7.00,0.25,6.00,580.00,6.00,6.50,1.3,1.8,21.00,65.00,330.00,vegetative,leafy_greens
baby spinach,250.00,110.00,250.00,150.00,60.00,30.00,1.80,3.50,1.80,18.00,9.00,9.00,0.35,6.00,720.00,6.00,6.50,1.3,1.8,23.00,60.00,380.00,flowering,leafy_greens
bay laurel,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.2,1.7,20.00,70.00,340.00,seedling,herbs
bay laurel,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.2,1.7,20.00,70.00,340.00,harvesting,herbs
bay laurel,220.00,130.00,240.00,130.00,60.00,30.00,1.80,3.50,1.80,17.00,9.00,9.00,0.40,6.00,640.00,6.00,6.50,1.2,1.7,22.00,65.00,390.00,vegetative,herbs
bay laurel,320.00,180.00,320.00,190.00,80.00,45.00,2.50,5.00,2.50,22.00,12.00,12.00,0.50,6.00,820.00,6.00,6.50,1.2,1.7,24.00,60.00,440.00,flowering,herbs
bay leaf,30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.2,1.7,22.00,67.00,220.00,seedling,spices
bay leaf,30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.2,1.7,22.00,67.00,220.00,harvesting,spices
bay leaf,60.00,40.00,50.00,40.00,30.00,30.00,0.70,0.80,0.70,6.00,4.00,4.00,0.13,6.00,540.00,6.00,6.50,1.3,1.8,24.00,62.00,270.00,vegetative,spices
bay leaf,90.00,60.00,75.00,60.00,45.00,45.00,1.00,1.20,1.00,9.00,6.00,6.00,0.20,7.00,640.00,6.00,6.50,1.3,1.8,26.00,57.00,320.00,flowering,spices
beech mushrooms (shimeji),30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.2,1.7,22.00,67.00,220.00,seedling,mushrooms
beech mushrooms (shimeji),30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.2,1.7,22.00,67.00,220.00,harvesting,mushrooms
beech mushrooms (shimeji),60.00,40.00,50.00,40.00,30.00,30.00,0.70,0.80,0.70,6.00,4.00,4.00,0.13,6.00,540.00,6.00,6.50,1.2,1.7,24.00,62.00,270.00,vegetative,mushrooms
beech mushrooms (shimeji),90.00,60.00,75.00,60.00,45.00,45.00,1.00,1.20,1.00,9.00,6.00,6.00,0.20,7.00,640.00,6.00,6.50,1.2,1.7,26.00,57.00,320.00,flowering,mushrooms
beefsteak tomatoes,120.00,70.00,150.00,80.00,40.00,20.00,1.00,1.50,1.00,8.00,4.00,4.00,0.20,6.00,700.00,6.00,6.50,1.2,1.7,28.00,60.00,320.00,seedling,fruitables
beefsteak tomatoes,120.00,70.00,150.00,80.00,40.00,20.00,1.00,1.50,1.00,8.00,4.00,4.00,0.20,6.00,700.00,6.00,6.50,1.2,1.7,28.00,60.00,320.00,harvesting,fruitables
beefsteak tomatoes,350.00,200.00,420.00,220.00,110.00,55.00,2.50,4.00,2.50,25.00,12.00,12.00,0.50,6.00,1400.00,6.00,6.50,1.2,1.7,32.00,55.00,380.00,vegetative,fruitables
