crop_id,crop_name,crop_temp,crop_humidity,crop_ph,crop_nitrogen,crop_phosphorus,crop_potassium,crop_calcium,crop_magnesium,crop_sulfur,crop_copper,crop_chlorine,crop_boron,crop_iron,crop_zinc,crop_manganese,crop_molybdenum,crop_nickel,crop_cobalt,crop_sodium,crop_ec,crop_light,crop_growth_stage,crop_type
0,aloevera,25.17526,351.75866,7.22001,74.17875,20.33515,9.93232,3.00047,0.19864,5.06696,0.50262,0.49952,0.49966,0.49681,0.50083,0.50184,0.4992,0.47646,0.48567,0.94932,2.23409,440.92693,seeding,multipurpose
1,aloevera,26.26847,354.46695,7.89513,70.32665,19.04693,10.09961,2.9973,0.22431,5.00811,0.49915,0.49797,0.49831,0.49982,0.50049,0.49997,0.49949,0.49665,0.40387,0.57976,0.75203,756.58876,vegetative,multipurpose
2,aloevera,23.57601,344.14836,6.68484,70.43825,19.24557,9.89954,2.99531,0.19759,4.98901,0.50018,0.50127,0.50028,0.49829,0.50004,0.49938,0.50193,0.484,0.33648,0.55693,1.87101,642.75603,flowering,multipurpose
3,aloevera,26.08609,339.69916,7.16829,73.07107,18.0608,10.14789,2.99445,0.19308,5.03954,0.50394,0.50082,0.49913,0.49944,0.50057,0.50362,0.50078,0.51658,0.3903,0.68579,2.35026,482.25732,harvesting,multipurpose
4,aloevera,24.10598,357.51265,8.16982,79.62515,20.63551,9.80804,2.98523,0.21768,4.99407,0.49736,0.50199,0.50171,0.49987,0.50107,0.50248,0.49951,0.51539,0.46004,0.6077,0.40645,512.16064,seeding,multipurpose
5,aloevera,25.45278,349.846,7.12611,68.21963,19.09307,10.09623,2.98283,0.20081,5.01908,0.50339,0.4997,0.50138,0.49875,0.50173,0.49949,0.50091,0.48593,0.55339,0.57268,1.07109,402.88986,vegetative,multipurpose
6,aloevera,24.73293,349.57495,7.31244,66.04421,20.98635,9.55155,2.99761,0.19449,4.96981,0.49991,0.50075,0.5002,0.4979,0.50088,0.50037,0.50047,0.53554,0.19638,0.47803,2.00685,562.49604,flowering,multipurpose
7,aloevera,24.10813,345.39264,7.46903,74.62617,19.53119,10.03458,2.99852,0.20643,4.993,0.50066,0.50025,0.49936,0.49939,0.49826,0.49633,0.49677,0.48188,0.43939,1.11606,3.57948,662.12106,harvesting,multipurpose
8,aloevera,24.00653,351.59745,7.95377,72.81948,20.43046,9.73633,3.01342,0.18644,5.00528,0.50013,0.49993,0.49712,0.50248,0.49927,0.49878,0.49668,0.52343,0.40836,0.84452,2.85351,562.80631,seeding,multipurpose
9,aloevera,26.17003,350.64319,7.01362,66.07086,20.9397,10.00333,3.03089,0.19807,4.97507,0.49804,0.50314,0.49885,0.50067,0.50012,0.50057,0.50016,0.46374,0.56906,0.05701,2.72283,533.91611,vegetative,multipurpose
10,aloevera,27.19447,343.31859,8.47294,77.39763,19.02404,9.94536,2.96427,0.18618,4.97787,0.49914,0.50122,0.49942,0.50133,0.49797,0.50114,0.4996,0.46287,0.5105,0.85836,2.25329,573.87898,flowering,multipurpose
11,aloevera,23.75595,342.54574,8.67996,75.68023,21.43021,9.96474,3.00566,0.21041,4.99967,0.5006,0.50031,0.50159,0.49935,0.49873,0.49911,0.5024,0.50678,0.54357,0.75574,3.46607,476.62044,harvesting,multipurpose
12,aloevera,25.86396,344.61414,7.65752,68.9612,20.50572,10.01209,3.00576,0.19849,5.02177,0.49931,0.49988,0.49987,0.50341,0.49884,0.49881,0.50021,0.52932,0.58005,0.73446,1.95403,579.01627,seeding,multipurpose
13,aloevera,25.41103,333.28149,7.87101,73.02406,22.22289,9.91703,2.99938,0.18364,5.02866,0.49989,0.49907,0.50057,0.50056,0.50045,0.50243,0.50138,0.49472,0.42241,0.81213,1.77209,599.35498,vegetative,multipurpose
14,aloevera,24.02142,359.3413,6.45459,70.52709,19.27325,9.91986,2.98969,0.18641,5.0222,0.50333,0.49837,0.50028,0.50113,0.50027,0.5014,0.50138,0.50239,0.58108,0.18539,1.01387,680.01898,flowering,multipurpose
15,aloevera,22.40168,365.25229,6.23236,72.47634,20.56589,10.02566,2.96676,0.20093,5.02207,0.49981,0.49898,0.50252,0.4993,0.49745,0.49867,0.49837,0.47854,0.35718,0.9431,1.34274,630.18892,harvesting,multipurpose
16,aloevera,24.09589,360.3408,8.22897,75.05121,21.02327,10.0384,2.97115,0.20701,4.98027,0.50016,0.49761,0.49872,0.50082,0.49612,0.50013,0.50129,0.52887,0.53429,0.68045,1.40219,596.70435,seeding,multipurpose
17,aloevera,25.68954,368.96303,7.37275,74.72252,20.55997,10.04018,3.01458,0.19267,4.97496,0.50215,0.50053,0.5026,0.49889,0.49937,0.50181,0.49866,0.52406,0.52466,1.03151,2.76416,602.35911,vegetative,multipurpose
18,aloevera,26.28302,381.41092,6.95265,74.51312,21.81323,9.89284,3.02399,0.20378,5.00657,0.50017,0.50148,0.49719,0.50082,0.50176,0.50364,0.50073,0.45727,0.39047,0.37588,1.99951,717.64308,flowering,multipurpose
19,aloevera,23.51389,351.73689,6.39818,65.771,18.21569,9.93751,3.00218,0.17854,5.01639,0.49901,0.49867,0.49979,0.50207,0.49843,0.49954,0.49934,0.52254,0.45734,0.80478,1.5928,495.98639,harvesting,multipurpose
20,aloevera,24.57881,315.62933,6.57533,71.81512,17.96218,9.96314,3.02463,0.21915,5.01353,0.49934,0.50064,0.49836,0.49739,0.50119,0.50381,0.5013,0.52732,0.37471,0.63029,2.51337,435.78863,seeding,multipurpose
21,armeniancucumbers,27.1651,348.312,6.75622,71.6564,19.67101,10.19387,3.0205,0.18514,4.96562,0.49923,0.49994,0.49899,0.50054,0.49848,0.49674,0.50047,0.52119,0.57595,0.42673,2.53341,536.26246,vegetative,fruitables
22,armeniancucumbers,24.31895,336.97319,5.68721,68.86031,21.89249,10.32761,3.01737,0.21085,4.9566,0.4987,0.4982,0.49582,0.49779,0.50308,0.50296,0.4983,0.4972,0.54175,0.66272,2.32352,506.92717,flowering,fruitables
23,armeniancucumbers,25.68821,346.63487,7.29609,73.77588,18.65898,9.94732,3.04489,0.18775,4.99246,0.49937,0.49849,0.50021,0.49898,0.49844,0.49952,0.50142,0.50911,0.59129,0.56606,1.63871,684.32894,harvesting,fruitables
24,armeniancucumbers,25.94402,359.99698,6.88281,64.79246,20.32616,10.00035,3.0003,0.16266,5.00097,0.49829,0.50044,0.50059,0.49903,0.49991,0.50071,0.49747,0.51295,0.4538,1.00319,1.9056,530.70682,seeding,fruitables
25,armeniancucumbers,24.50145,353.8863,7.50295,71.61646,21.59508,10.09341,2.99049,0.18532,5.02172,0.50119,0.50024,0.50055,0.4981,0.49683,0.50134,0.49909,0.52463,0.38383,0.58601,3.94779,566.40324,vegetative,fruitables
26,armeniancucumbers,25.40772,350.30645,6.37529,74.55833,20.31742,10.20897,3.0238,0.20344,4.99677,0.50186,0.50024,0.50072,0.50116,0.49869,0.50269,0.49928,0.49322,0.37389,0.73745,2.60058,467.14889,flowering,fruitables
27,armeniancucumbers,23.96008,374.69413,7.79952,70.29103,20.45802,10.129,3.02658,0.19534,5.01568,0.50039,0.49845,0.49976,0.50106,0.50048,0.50191,0.50119,0.48116,0.53728,1.11549,0.68362,460.63384,harvesting,fruitables
28,armeniancucumbers,24.8116,368.09939,6.90734,74.24285,22.17375,9.75256,2.98441,0.19644,5.00825,0.49949,0.49852,0.49993,0.50079,0.49919,0.50181,0.50219,0.52939,0.81898,0.13637,1.68923,495.87952,seeding,fruitables
29,armeniancucumbers,25.83451,337.13419,5.07322,73.83567,20.24767,9.95879,2.99957,0.20792,4.99406,0.50118,0.49975,0.50233,0.49782,0.49816,0.49713,0.49969,0.55361,0.45047,0.60772,2.88215,446.42967,vegetative,fruitables
30,armeniancucumbers,25.01989,352.08045,6.493,71.79623,21.35113,10.20974,3.01838,0.20148,5.02341,0.49984,0.49734,0.50173,0.49839,0.5017,0.49991,0.50217,0.52393,0.57266,0.22584,1.39148,570.3342,flowering,fruitables
31,armeniancucumbers,26.19567,334.30985,7.19615,69.39539,21.72427,10.02571,3.01559,0.21409,4.98765,0.49845,0.50309,0.49916,0.49755,0.49997,0.50098,0.49708,0.46776,0.62007,0.36929,1.30676,615.19504,harvesting,fruitables
32,armeniancucumbers,25.54214,331.13331,8.01192,70.05081,20.20865,9.79469,2.99271,0.20884,5.01986,0.50029,0.49988,0.49872,0.50099,0.4991,0.49863,0.49924,0.52666,0.69006,0.87895,0.66761,687.69741,seeding,fruitables
33,armeniancucumbers,26.89261,337.04054,6.72908,70.86173,21.97059,10.21341,3.00898,0.20738,5.02014,0.50067,0.49858,0.50179,0.49762,0.49802,0.50029,0.49925,0.43026,0.41333,0.79042,1.9616,587.03936,vegetative,fruitables
34,armeniancucumbers,23.92397,360.35035,6.52986,73.91547,19.25519,10.05616,3.00929,0.21084,4.98189,0.50111,0.49851,0.49961,0.49892,0.50278,0.50206,0.50024,0.47977,0.57175,0.92091,1.67412,767.9804,flowering,fruitables
35,armeniancucumbers,25.10921,349.75703,7.52291,73.79509,20.23534,9.73575,2.97527,0.21472,5.01401,0.50173,0.50228,0.50197,0.49998,0.50043,0.50012,0.49726,0.52505,0.51544,0.20977,3.33813,613.03989,harvesting,fruitables
36,armeniancucumbers,24.05137,367.24308,7.32484,68.56649,21.38752,9.81105,2.97356,0.19175,4.98543,0.50038,0.50044,0.49743,0.50045,0.49829,0.49833,0.49854,0.51251,0.62781,0.26071,1.81933,600.429,seeding,fruitables
37,armeniancucumbers,26.68308,356.13212,6.9366,71.58879,17.68337,9.65166,2.99691,0.18928,4.99355,0.5008,0.49793,0.49632,0.49971,0.49946,0.49894,0.49957,0.52255,0.25986,0.40613,0.61947,562.42663,vegetative,fruitables
38,armeniancucumbers,24.53534,347.41481,6.81651,73.9326,17.24732,10.14737,3.00534,0.21204,4.99705,0.50178,0.50224,0.50132,0.5002,0.49998,0.49733,0.50114,0.4735,0.55328,0.84524,2.27556,291.48369,flowering,fruitables
39,armeniancucumbers,23.7712,345.93805,8.06424,71.68454,21.82039,9.80702,3.01166,0.19232,5.00815,0.5024,0.50008,0.50088,0.49838,0.4976,0.5034,0.49616,0.51342,0.40374,1.01195,1.39184,601.53594,harvesting,fruitables
40,armeniancucumbers,26.2736,359.11282,7.97376,70.84015,18.76868,9.81911,3.02488,0.19349,4.98229,0.49984,0.49962,0.50059,0.50125,0.4988,0.50108,0.49838,0.48877,0.62643,0.98399,3.95406,579.51631,seeding,fruitables
41,armeniancucumbers,26.21556,361.20231,6.95823,69.45278,20.9788,9.83025,2.98046,0.20251,4.98609,0.50017,0.49944,0.5005,0.50017,0.50199,0.49708,0.50312,0.4842,0.36033,0.70651,3.49733,328.73996,vegetative,fruitables
42,arugula,23.4803,341.63052,7.07537,70.70201,20.03911,9.80815,3.0167,0.20788,4.99393,0.5013,0.50031,0.50056,0.49885,0.5003,0.49763,0.49927,0.49068,0.54866,0.4417,3.93187,455.08005,flowering,leafy_greens
43,arugula,25.8439,336.76575,6.94335,69.86269,19.42803,9.86511,2.99792,0.22524,4.9987,0.49816,0.5006,0.49929,0.50146,0.49868,0.50308,0.49927,0.47338,0.62866,0.93382,3.11514,430.73586,harvesting,leafy_greens
44,arugula,24.47809,366.05409,6.50204,74.36807,20.61526,9.90078,3.00296,0.21936,4.97504,0.49987,0.50198,0.49818,0.49923,0.50066,0.49973,0.4988,0.46703,0.42171,0.77269,2.37536,577.2697,seeding,leafy_greens
45,arugula,24.27949,373.55932,7.3097,72.5148,18.06959,9.86734,3.0049,0.21445,4.97653,0.50066,0.4976,0.49946,0.50086,0.49893,0.49925,0.50215,0.51397,0.45845,1.26669,1.99473,553.86366,vegetative,leafy_greens
46,arugula,24.28543,358.54076,7.35487,77.57563,23.11464,10.0175,2.97904,0.19938,4.94812,0.49899,0.50043,0.50385,0.50219,0.49903,0.50197,0.50176,0.44958,0.42379,0.50202,2.45282,435.30807,flowering,leafy_greens
47,arugula,25.51922,354.7418,7.81399,62.81849,22.31383,10.04613,3.00068,0.19788,4.98067,0.50156,0.50041,0.49642,0.50063,0.50007,0.49948,0.50147,0.47343,0.41574,0.82124,2.34838,370.42157,harvesting,leafy_greens
48,arugula,27.74001,359.66816,7.39822,65.65667,21.23938,9.93926,2.96808,0.19805,4.98911,0.49946,0.50062,0.49869,0.49876,0.50092,0.50063,0.49702,0.51069,0.39955,0.56694,2.05404,564.56887,seeding,leafy_greens
49,arugula,24.85868,362.80885,6.10293,73.77355,18.66235,10.04213,3.02531,0.23605,5.03148,0.50168,0.49982,0.49735,0.5016,0.49907,0.49774,0.4997,0.49424,0.47617,0.4789,0.38984,631.07784,vegetative,leafy_greens
50,arugula,26.90144,340.61737,7.30786,69.53895,17.30785,10.10541,3.00517,0.2066,4.97234,0.49926,0.49852,0.50025,0.49988,0.49951,0.5018,0.5012,0.45136,0.50391,0.97591,2.54366,487.13789,flowering,leafy_greens
51,arugula,27.29989,350.61139,7.00812,70.81051,16.96292,9.72265,2.99225,0.19825,5.01258,0.49859,0.49864,0.50173,0.49676,0.49952,0.50013,0.49719,0.46872,0.38466,0.66067,1.50795,594.1299,harvesting,leafy_greens
52,arugula,23.81183,350.29836,7.92817,74.91973,18.42532,9.99145,3.02532,0.21968,5.02503,0.49992,0.50262,0.50354,0.49734,0.50039,0.49944,0.50085,0.49061,0.51576,0.79061,2.93203,413.70254,seeding,leafy_greens
53,arugula,24.66502,348.43601,6.67228,76.36261,20.63155,10.20226,2.99561,0.2147,5.03319,0.50008,0.50256,0.49991,0.50044,0.50117,0.49932,0.50059,0.47109,0.43816,0.23604,0.66007,528.8427,vegetative,leafy_greens
54,arugula,24.95297,344.42783,7.92605,74.87441,18.14756,10.24709,2.99425,0.19453,4.98538,0.50132,0.49965,0.50056,0.49574,0.50071,0.50224,0.50304,0.49099,0.44926,0.49158,1.68453,681.21264,flowering,leafy_greens
55,arugula,25.37686,371.9477,7.76219,71.27334,22.31525,9.87147,2.99416,0.19454,4.96686,0.50154,0.50043,0.49805,0.50021,0.50019,0.49932,0.49678,0.50736,0.4671,0.62032,2.68776,453.73588,harvesting,leafy_greens
56,arugula,26.24632,350.81296,6.79048,74.99984,17.55954,10.15322,2.98211,0.2073,4.97942,0.49835,0.49702,0.49862,0.50238,0.49973,0.50002,0.49918,0.53845,0.54969,0.48888,0.6358,614.77275,seeding,leafy_greens
57,arugula,24.1824,350.21318,6.9099,70.05581,19.03263,10.33258,3.02243,0.17817,4.98543,0.49879,0.50159,0.49866,0.50086,0.50005,0.49955,0.49972,0.48375,0.34274,0.5094,2.02852,748.02399,vegetative,leafy_greens
58,arugula,24.45722,336.82539,8.32291,70.80904,19.65321,9.85147,3.00771,0.20287,4.97021,0.49856,0.50195,0.50091,0.50044,0.49893,0.49732,0.49795,0.52773,0.65195,0.62667,0.72871,815.68185,flowering,leafy_greens
59,arugula,23.20696,356.73774,6.96853,70.83528,20.47191,9.71647,3.00492,0.19431,5.0126,0.49963,0.50066,0.4991,0.49941,0.49911,0.4996,0.50013,0.47664,0.48541,0.52103,2.21528,815.83677,harvesting,leafy_greens
60,arugula,26.385,350.30859,6.62849,75.56077,22.26213,9.93923,3.01285,0.18658,4.99662,0.50352,0.49946,0.49864,0.50301,0.50049,0.50163,0.50263,0.50785,0.43788,0.38356,3.75006,649.57235,seeding,leafy_greens
61,arugula,24.88855,349.41066,7.31392,73.06455,17.03197,9.78644,2.98463,0.21532,4.96483,0.50021,0.49923,0.49807,0.49928,0.49938,0.50095,0.49784,0.50341,0.51893,0.35397,1.44737,642.88009,vegetative,leafy_greens
62,arugula,25.43868,351.63541,7.56716,66.96261,22.91697,9.60363,2.97969,0.19512,5.02605,0.49872,0.49902,0.50062,0.49859,0.49987,0.49848,0.50027,0.49686,0.50648,0.80171,2.68121,489.34199,flowering,leafy_greens
