fertilizer_name,type,ph,ec,nirtogen,phosphorus,potassium,calcium,magnesium,sulfur,iron,maganese,zinc,copper,boron,molybdenum,chlorine,nickel,cobalt,sodium,toxicity,temperature,solubility,role,remark
acetic acid,ph regulator,3.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,30.00, highly," ""Reduces soil pH and improves nutrient availability""",Dilute to 2-5% solutionand avoid contact with eyes/skin
silicic acid,ph regulator,4.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, medium," ""Provides silicon for plant strength""",Soluble form of siliconand may strengthen plant cell wallsand research application rates
sodium hydroxide,ph regulator,4.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Raises soil pH and supplies sodium""",Lyeand strong baseand not recommended for fertilizer use
calcium carbonate,ph ec regulator,7.50,0.00,0.00,0.00,0.00,400000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, low," ""Raises soil pH and provides calcium""",Liming materialand raises soil pHand apply according to soil test
citric acid,ph ec regulator,6.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, highly," ""Lowers soil pH and improves nutrient uptake""",Lowers soil pHand use cautiouslyand can damage plants in high concentrations
phosphoric acid,ph ec regulator,5.00,0.01,0.00,32000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00, neutral,40.00, highly," ""Supplies phosphorus and lowers soil pH""",Strong acidand use with extreme cautionand follow safety guidelines
potassium hydroxide,ph ec regulator,8.00,0.01,0.00,0.00,697000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Raises soil pH and supplies potassium""",Lyeand strong baseand not recommended for fertilizer use
sodium bicarbonate,ph ec regulator,4.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Lowers soil pH and supplies sodium""",Baking sodaand neutralizes soil acidityand use cautiously
sodium carbonate,ph ec regulator,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,50.00, highly," ""Supplies sodium and raises soil pH""",Soda ashand raises soil pHand not recommended for most plants
sulfuric acid,ph ec regulator,4.50,0.01,0.00,0.00,0.00,0.00,0.00,1000000.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, neutral,35.00, highly," ""Lowers soil pH and supplies sulfur""",Strong acidand use with extreme cautionand follow safety guidelines
