name,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,copper,chlorine,boron,iron,zinc,manganese,molybdenum,nickel,cobalt,sodium,oxygen,carbondioxide,ph_min,ph_max,EC_min,EC_max,temp,humidity,light,growth_stage,type
aloe vera,120000.00,62400.00,101000.00,84000.00,61200.00,41600.00,808.00,1050.00,808.00,12240.00,8160.00,6000.00,150.00,376.99,120.17,755.39,5.95,540.00,6.00,6.50,1.20,1.70,24.00,62.00,270.00,vegetative,multipurpose
aloe vera,61200.00,31200.00,50000.00,42000.00,30000.00,20000.00,400.00,515.00,416.00,6120.00,4080.00,3150.00,84.00,276.46,164.93,503.59,4.54,440.00,6.00,6.50,1.20,1.70,22.00,67.00,220.00,seedling,multipurpose
aloe vera,63000.00,30900.00,52000.00,41600.00,31200.00,20400.00,412.00,510.00,416.00,6240.00,4000.00,3030.00,83.20,527.79,121.47,566.54,8.97,440.00,6.00,6.50,1.20,1.70,22.00,67.00,220.00,harvesting,multipurpose
aloe vera,185400.00,90900.00,157500.00,120000.00,90900.00,61200.00,1200.00,1545.00,1248.00,18000.00,12600.00,9360.00,262.50,816.81,182.21,440.64,8.00,640.00,6.00,6.50,1.20,1.70,26.00,57.00,320.00,flowering,multipurpose
armenian cucumbers,306800.00,143420.00,346000.00,175760.00,82400.00,42000.00,1768.00,2912.00,1785.00,13520.00,5200.00,7350.00,378.00,486.95,122.52,461.62,4.92,1170.00,5.20,6.60,1.30,1.80,23.00,51.00,315.00,vegetative,fruitables
armenian cucumbers,86700.00,42000.00,112270.00,54060.00,27300.00,12240.00,300.00,630.00,312.00,3000.00,1000.00,2080.00,80.00,442.96,113.10,279.77,6.20,580.00,5.30,6.50,1.20,1.70,18.00,54.00,285.00,seedling,fruitables
armenian cucumbers,91000.00,45000.00,115260.00,59160.00,27270.00,13000.00,404.00,700.00,412.00,4120.00,2100.00,3030.00,102.00,289.03,274.89,262.29,7.23,590.00,5.20,6.60,1.20,1.70,20.00,55.00,305.00,harvesting,fruitables
armenian cucumbers,495000.00,232000.00,602820.00,289000.00,149940.00,68680.00,3640.00,5353.00,3333.00,29120.00,12480.00,15150.00,545.90,329.87,207.35,482.61,4.65,1735.00,5.10,6.70,1.30,1.80,26.00,48.00,360.00,flowering,fruitables
arugula,187200.00,83200.00,210000.00,100000.00,41600.00,20400.00,1326.00,2625.00,1339.00,14560.00,7000.00,7000.00,260.00,351.86,138.23,209.83,7.60,580.00,6.00,6.50,1.20,1.70,21.00,65.00,330.00,vegetative,leafy_greens
arugula,63000.00,31500.00,72100.00,25500.00,15150.00,8160.00,420.00,630.00,404.00,2525.00,1500.00,1575.00,81.60,424.12,160.22,433.65,3.64,480.00,6.00,6.50,1.20,1.70,20.00,70.00,280.00,seedling,leafy_greens
arugula,62400.00,31200.00,71400.00,25750.00,15000.00,8240.00,404.00,630.00,400.00,2500.00,1545.00,1560.00,80.80,716.28,280.39,818.33,4.99,480.00,6.00,6.50,1.20,1.70,20.00,70.00,280.00,harvesting,leafy_greens
arugula,257500.00,112200.00,257500.00,156000.00,61800.00,30300.00,1872.00,3570.00,1836.00,18000.00,9180.00,9180.00,367.50,235.62,293.22,902.27,5.46,720.00,6.00,6.50,1.20,1.70,23.00,60.00,380.00,flowering,leafy_greens
ashwagandha,83200.00,60600.00,71400.00,63000.00,51000.00,52500.00,1224.00,1456.00,1248.00,12000.00,10000.00,10400.00,210.00,361.28,175.93,681.95,8.44,570.00,6.00,6.50,1.20,1.70,26.00,60.00,290.00,vegetative,exotic_plants
ashwagandha,42000.00,30000.00,36400.00,30600.00,25750.00,25250.00,600.00,735.00,618.00,6000.00,5050.00,5050.00,103.00,769.69,128.18,713.42,6.78,470.00,6.00,6.50,1.20,1.70,24.00,65.00,240.00,seedling,exotic_plants
ashwagandha,40000.00,30900.00,36400.00,30600.00,25500.00,25250.00,618.00,700.00,630.00,6300.00,5250.00,5250.00,100.00,508.94,65.97,209.83,7.62,470.00,6.00,6.50,1.20,1.70,24.00,65.00,240.00,harvesting,exotic_plants
ashwagandha,122400.00,91800.00,108150.00,93600.00,78000.00,77250.00,1818.00,2121.00,1836.00,18720.00,15300.00,15450.00,303.00,967.61,202.32,856.80,3.53,670.00,6.00,6.50,1.20,1.70,28.00,55.00,340.00,flowering,exotic_plants
baby eggplant,308050.00,155040.00,374400.00,183600.00,87870.00,47840.00,2288.00,3432.00,2266.00,18540.00,8400.00,10400.00,422.30,923.63,499.51,758.88,4.96,1200.00,5.30,6.50,1.20,1.70,28.00,57.00,335.00,vegetative,fruitables
baby eggplant,91800.00,47940.00,119340.00,59160.00,30450.00,16000.00,707.00,1050.00,515.00,6120.00,2080.00,3150.00,121.20,358.14,285.88,804.35,4.56,600.00,5.40,6.60,1.20,1.70,23.00,59.00,310.00,seedling,fruitables
baby eggplant,98800.00,50400.00,124800.00,63240.00,30300.00,17680.00,945.00,1133.00,840.00,7350.00,4160.00,5200.00,168.00,1209.51,94.25,727.41,7.28,610.00,5.30,6.50,1.20,1.70,25.00,58.00,315.00,harvesting,fruitables
baby eggplant,510000.00,257250.00,605000.00,300900.00,166400.00,78750.00,4080.00,6060.00,3838.00,32000.00,15300.00,18000.00,603.20,508.94,68.33,472.12,4.80,1760.00,5.20,6.60,1.20,1.70,30.00,54.00,380.00,flowering,fruitables
baby spinach,180000.00,80800.00,202000.00,100000.00,40400.00,20000.00,1300.00,2525.00,1326.00,14560.00,7210.00,7070.00,260.00,725.71,103.67,349.72,5.86,580.00,6.00,6.50,1.30,1.80,21.00,65.00,330.00,vegetative,leafy_greens
baby spinach,61200.00,26000.00,72800.00,25750.00,15300.00,8320.00,408.00,630.00,404.00,2550.00,1545.00,1515.00,80.00,584.34,89.54,335.73,6.17,480.00,6.00,6.50,1.20,1.70,20.00,70.00,280.00,seedling,leafy_greens
baby spinach,60600.00,25250.00,71400.00,26250.00,15150.00,8160.00,420.00,624.00,408.00,2600.00,1575.00,1545.00,80.80,675.44,358.14,783.36,6.37,480.00,6.00,6.50,1.20,1.70,20.00,70.00,280.00,harvesting,leafy_greens
