fertilizer_name,type,ph,ec,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,copper,chlorine,boron,iron,zinc,manganese,molybdenum,nickel,cobalt,sodium,toxicity,temperature,solubility,role,remark
acetic acid,ph regulator,3,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,30, highly," ""Reduces soil pH and improves nutrient availability""",Dilute to 2-5% solutionand avoid contact with eyes/skin
iron iii chloride,inorganic,3,0.02,0,0,0,0,0,0,0,0,0,210000,0,0,0,0,0,0, neutral,50, highly," ""Provides iron for enzyme function""",Soluble iron sourceand can be corrosiveand handle with care
abscisic acid,growth regulator,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,25, low," ""Regulates plant growth and stress response""",Wear glovesand maskand dilute well for foliar application
canola meal,organic,4,0.03,60000,5000,45000,7000,200,10000,2,0,20,20,150,5,0.3,0.4,0.1,50, low,35, insoluble," ""Adds organic matter and nutrients to soil""",Nitrogen sourceand slow-releaseand till into soil before planting
crab meal,organic,4,0,60000,4000,10000,150000,3000,5000,7,0,5,100,0,3,0,1.1,0.1,10, low,35, low," ""Source of chitin and nutrients""",Slow-release source of chitin and nutrientsand beneficial for soil microbes
karanja cake,organic,4,0.03,30000,3000,30000,2000,100,0,1,0,20,10,0,2,0.1,0,0.1,20, low,35, low," ""Adds nutrients and organic matter""",Neem seed cakeand organic insect repellentand follow label instructions
epsom salt,ec regulator,4,0.02,0,0,0,0,99600,130000,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Provides magnesium and sulfur""",Magnesium sulfateand source of magnesiumand follow label rates to avoid toxicity
vermiculite,organic,4,0.02,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0, neutral,50, insoluble," ""Improves soil aeration and water retention""",Inert mineraland improves drainage and aeration
humic acid,organic,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,40, low," ""Enhances nutrient uptake and soil health""",Soil amendmentand improves soil structure and nutrient holding capacity
iron phosphate,inorganic,4,0.03,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0, neutral,50, low," ""Provides iron and phosphorus""",Insoluble in waterand slow-release iron source
brassinosteroids,growth regulator,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,25, low," ""Promotes overall plant growth and health""",Plant hormoneand research application rates for specific crops
urea,inorganic,4.5,0.03,460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, dangerous,45, highly," ""High nitrogen source for rapid growth""",Synthetic organic nitrogen fertilizerand readily available nitrogen sourceand follow label rates
